Date,Time,ID,Name,Comments
2021/12/07,16:15:27:06,1292644,061221_THE FOOTBALL REVIEW_PT 2_DUR 1156,New Clip
2021/12/07,16:27:24:05,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,16:27:37:21,1211207,Nutri Ventures_coming up,(null)
2021/12/07,16:27:44:22,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,16:28:03:18,1292928,NIVEA_081221_NXT_PIECES OF US_0046 GOOD,New Clip
2021/12/07,16:28:50:02,1292907,BRIAN LAUNCH PROMO gd,New Clip
2021/12/07,16:29:37:09,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,16:29:53:09,846289,PG RATINGS NEW_GE,(null)
2021/12/07,16:30:02:22,1237858,NUTRI VENTURES_EPS 49_PT 1_DUR 1047,New Clip
2021/12/07,16:40:50:08,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,16:41:06:13,1292883,NUTRI VENTURES_KWETU MIXX_QUEEN OF FLOW_UPNEXT_XMAS,(null)
2021/12/07,16:41:13:21,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,16:41:28:08,1287279,SENDY_NOV BOARD_0030,(null)
2021/12/07,16:41:58:10,1274806,RUIRU MABATI_OCT BOARD_0028,(null)
2021/12/07,16:42:26:23,1283048,CENTRE FOR HEALTH_BOARD_0030,(null)
2021/12/07,16:42:56:13,1291795,EQUITY BANK_DEC TVC 1 GD_0028,(null)
2021/12/07,16:43:26:07,1292587,JUICY_071221_TNT_QUEEN OF FLOW_0056,New Clip
2021/12/07,16:44:22:09,1293273,DELAMERE_071221_NXT_RETURN OF LUCAS_0100,New Clip
2021/12/07,16:45:23:00,1209431,Nutri Ventures _Break Bumper,New Clip
2021/12/07,16:45:30:12,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,16:45:47:19,1237860,NUTRI VENTURES_EPS 49_PT 2_DUR 1113,New Clip
2021/12/07,16:57:01:02,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,16:57:14:18,1184692,Kwetu Mixx_coming up,(null)
2021/12/07,16:57:21:19,1169857,COMING UP WITH HARPIC,New Clip
2021/12/07,16:57:38:18,1292667,09122021-THAMANI EPS -0048,New Clip
2021/12/07,16:58:27:07,1293221,081221_MAMA LUCY DOCU_0053 FINAL,New Clip
2021/12/07,16:59:20:12,1293273,DELAMERE_071221_NXT_RETURN OF LUCAS_0100,New Clip
2021/12/07,17:00:21:03,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,17:00:37:03,846290,PG RATINGS NEW_PG,(null)
2021/12/07,17:00:46:16,1292934,071221_KWETU MIX_PT 1_DUR 1429 ,New Clip
2021/12/07,17:15:25:18,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,17:15:41:22,1270520,FRESH FRI_OCT TVC_0020,(null)
2021/12/07,17:16:01:20,1287279,SENDY_NOV BOARD_0030,(null)
2021/12/07,17:16:31:22,1291885,UNDP_DEC SHENG TVC_0050,(null)
2021/12/07,17:17:21:00,1236918,NIVEA MEN_DEEP JUNE TVC_0020,(null)
2021/12/07,17:17:41:00,1283895,COKE_CHRISTMAS TVC_0030,(null)
2021/12/07,17:18:10:23,1184701,Kwetu Mixx_ BREAK_BUMPER,(null)
