Date,Time,ID,Name,Comments
2021/11/04,21:44:09:23,1279373,MORTEIN AEROSOL_JUMIA TAG_0034,(null)
2021/11/04,21:44:44:22,1265816,SAMSUNG_Z FOLD SEPT TVC_0030,New Clip
2021/11/04,21:45:14:22,1262731,MINUTE MAID_SEPT TVC 1_0015,(null)
2021/11/04,21:45:29:24,1250337,ABSA_JULY TVC_0120,New Clip
2021/11/04,21:47:31:13,1274806,RUIRU MABATI_OCT BOARD_0028,(null)
2021/11/04,21:48:00:01,1200822,NTV BREAKING NEWS BUMPER NIGHT,New Clip
2021/11/04,21:48:08:02,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:48:11:18,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:54:38:18,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:54:42:04,1269840,UPNEXT WITH STARTIMES SEPTEMBER NEWEST,(null)
2021/11/04,21:54:56:19,1273591,SPRITE_OCT TVC_0030,(null)
2021/11/04,21:55:26:20,1280737,NTV FAMILIES WITH MOLFIX NOVEMBER,(null)
2021/11/04,21:55:56:20,1274833,MUTHOKINJU_BOARD_0030,(null)
2021/11/04,21:56:27:05,1277873,SENDY_OCT BOARD_0030,(null)
2021/11/04,21:56:57:14,1203616,NTV MOMENTS WITH DETTOL ASL,(null)
2021/11/04,21:57:28:02,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:57:31:19,1109714,NTV_STATION ID_MUSIC AND VOICE IDENT _FINAL mov,New Clip
2021/11/04,22:06:50:23,1109714,NTV_STATION ID_MUSIC AND VOICE IDENT _FINAL mov,New Clip
2021/11/04,22:07:06:23,976495,Documentary_coming up,(null)
2021/11/04,22:07:13:24,1280846,COMING UP WITH MORTEIN LED,(null)
2021/11/04,22:07:29:18,1264209,HUNTERS_CUTDOWN 3_0021,(null)
2021/11/04,22:07:51:12,1275388,ODIBETS_DONDOKA TVC_0059,New Clip
2021/11/04,22:08:51:06,1205753,NTV JIONI NURU ABDULAZIZ_0012,(null)
2021/11/04,22:09:04:01,1276884,GUINNESS SMOOTH_OCT TVC NEW_0030,(null)
2021/11/04,22:09:34:16,1255817,CHEZA_LOTTO 50M_0102 new,(null)
2021/11/04,22:10:37:02,1109717,NTV_STATION ID_MUSIC AND SLOGAN_FINAL mov,(null)
2021/11/04,22:10:53:02,1281905,041121_TOP 40 SUCESS ROUND TABLE_DUR 1357_FINALL,New Clip
2021/11/04,22:24:50:22,883060,NTV SOCIAL MEDIA STING_SMALLER TEXT,New Clip
2021/11/04,22:25:05:21,1277725,THE FOOTBALL REVIEW_COMING UP,New Clip
2021/11/04,22:25:12:22,1280846,COMING UP WITH MORTEIN LED,(null)
2021/11/04,22:25:28:16,1281541,BETAPAWA_TVC 3_0030,(null)
2021/11/04,22:25:58:16,1231605,SMIRNOFF_PARTY TVC_0019,(null)
2021/11/04,22:26:17:16,1281845,SMIRNOFF_061121_GEN_THE TREND_0123,(null)
2021/11/04,22:27:40:22,1255817,CHEZA_LOTTO 50M_0102 new,(null)
2021/11/04,22:28:43:08,1281832,SPRITE_061121_NXT_UNSCRIPTED_0055,(null)
2021/11/04,22:29:39:02,1205753,NTV JIONI NURU ABDULAZIZ_0012,(null)
2021/11/04,22:29:51:22,1169617,NMG Corona PSA 5 BEST,New Clip
2021/11/04,22:30:31:22,1281564,071121_CRY OF THE SPIRIT_0019,New Clip
2021/11/04,22:30:51:19,1109717,NTV_STATION ID_MUSIC AND SLOGAN_FINAL mov,(null)
2021/11/04,22:31:07:19,846290,PG RATINGS NEW_PG,(null)
2021/11/04,22:31:17:07,1281890,041121_THE FOOTBALL REVIEW_PT 1_DUR 1140,New Clip
2021/11/04,22:42:57:22,883060,NTV SOCIAL MEDIA STING_SMALLER TEXT,New Clip
2021/11/04,22:43:12:21,1269840,UPNEXT WITH STARTIMES SEPTEMBER NEWEST,(null)
2021/11/04,22:43:27:10,1281545,BETAPAWA_TVC 4_0030,(null)
2021/11/04,22:43:57:11,1205759,NTV JIONI JOSHUA MAKORI PROMO -0013,(null)
2021/11/04,22:44:10:20,1276884,GUINNESS SMOOTH_OCT TVC NEW_0030,(null)
